S&P 500 Index,"2,743.15",2018-01-07 16:08:07.578000
S&P 500 Index,"2,743.15",2018-01-07 16:08:23.539000
S&P 500 Index,"2,743.15",2018-01-07 16:27:53.294000
NASDAQ Composite Index,"7,136.56",2018-01-07 16:39:31.760000
NASDAQ Composite Index,"7,136.56",2018-01-07 16:42:36.883000
NASDAQ Composite Index,"7,136.56",2018-01-07 16:47:08.784000
NASDAQ Composite Index,"6,874.49",2018-02-12 20:32:41.680000
